"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007586","digestion","25/1787","90/13739",0.277777777777778,2.13564011689361,4.17941313818218,0.000143791961227946,0.00528492115074887,0.00528492115074887,"NPC1L1/FGF10/LEP/TLR9/TFF1/SOAT2/MUC4/RBP4/AKR1D1/ENPP7/PRSS3/UCN2/CHRM5/AQP1/CHIT1/PTGER3/NPC1/PPARGC1A/CTRB2/CD36/NR1I2/HRH2/ASAH2/PGA4/PGA3",25
"GO:0030198","extracellular matrix organization","52/1787","242/13739",0.214876033057851,1.6520323548863,3.95696260246197,0.000152362226488362,0.00538415306954,0.00538415306954,"SMOC2/COL28A1/DPP4/COL17A1/BMP2/ADAMTS9/COL19A1/CCDC80/HAS2/COL23A1/ELANE/COLGALT2/IER3IP1/ADAMTS18/TMPRSS6/ADAMTS8/PPARG/VIT/COL24A1/MFAP4/TPSAB1/THSD4/MMP28/TGFBR3/COL6A6/KIF9/ADAMTS15/MMP19/CTSG/ADAMTSL3/ADAMTS5/DPT/TNXB/FLRT2/SPINK5/ADAMTSL5/ADAMTS1/FBLN5/COL4A6/LAMA2/IL6/PLG/MMP16/HPSE2/ECM2/HAS1/RECK/COL7A1/COL14A1/ADAMTS4/CMA1/MYH11",52
"GO:0006631","fatty acid metabolic process","66/1787","328/13739",0.201219512195122,1.5470368651644,3.87727562874641,0.000169862240836325,0.00581353519262322,0.00581353519262322,"CYP2C8/PDK4/LPL/ACSBG2/PTGDS/ELOVL3/CAV1/CYP4F3/ACOT1/ALOXE3/SLC22A13/CYP2A7/PLA2G4D/HPGDS/LEP/FABP3/FADS1/CYP4F12/ACOX2/ALOX12B/PLIN5/FA2H/ACSBG1/PPARG/SCD5/CYP4F11/PLA2G5/TPK1/DGAT2/ACSM5/GPIHBP1/PTGS2/ETFDH/ACOXL/ADIPOQ/PM20D1/CYP2B6/ACADSB/FABP5/ABHD5/UGT1A8/ACADL/CYP4B1/CYP4A11/ACACB/PER2/ACSL1/HAO2/ACSL6/CYP2U1/PLA2G4A/CES1/CYP4F2/PPARGC1A/GSTM2/ELOVL4/ACSM2A/ADH4/CD36/ALDH3A2/PLA2G3/AWAT1/ASAH2/ACSM2B/UGT1A6/BDH2",66
"GO:0140448","signaling receptor ligand precursor processing","14/1787","38/13739",0.368421052631579,2.83253320766943,4.37392426085732,0.000171996023923664,0.0058138902901604,0.0058138902901604,"DPP4/ACE/CASP1/SLC30A8/CPA3/ENPEP/CORIN/CTSG/PCSK1/PCSK5/PCSK2/BCHE/CMA1/MME",14
"GO:0140115","export across plasma membrane","21/1787","71/13739",0.295774647887324,2.27400553291771,4.16151767421708,0.000184202043516157,0.00611327509269378,0.00611327509269378,"KCNA5/KCND3/FXYD2/SLC8A2/KCNIP2/ATP1A2/KCNE1/KCNA2/PDZK1/NEDD4/ABCG2/SLC4A4/ATP1B2/SLC8A3/FXYD1/ABCB1/SLC24A4/KCNE4/KCNB1/KCNT2/SLC47A2",21
"GO:0050919","negative chemotaxis","15/1787","43/13739",0.348837209302326,2.68196665842454,4.27128427378241,0.000206165754864756,0.00660212674642925,0.00660212674642925,"DPP4/SEMA6D/SLIT3/ITGB3/SEMA6A/SEMA4A/PLXNA4/SEMA5A/SEMA3D/SEMA3G/FLRT2/SLIT2/SLIT1/ROBO2/SEMA3A",15
"GO:0007517","muscle organ development","44/1787","198/13739",0.222222222222222,1.70851209351489,3.88291813002447,0.000218300632538408,0.00695008292895535,0.00695008292895535,"MYOCD/BMP2/MEF2C/COL19A1/EGR2/CAV1/BMP4/DISP1/RTL1/EGR3/FOXP2/HBEGF/UTRN/CFL2/IGF1/RYR2/MYLK/TNNI3/TGFBR3/ZFPM2/RPL3L/KY/PAX3/MYOM1/RBM24/ACTA1/WNT3A/FHL1/CAV3/SVIL/SGCD/ACTC1/CACNA1H/DMD/TMEM182/POPDC2/DES/TNNC1/LAMA2/USP2/MYL3/MUSTN1/TRIM72/ITGA7",44
"GO:0019755","one-carbon compound transport","8/1787","15/13739",0.533333333333333,4.10042902443574,4.64548228970471,0.000221784912032004,0.00702019756235407,0.00702019756235407,"AQP9/HBA1/HBA2/AQP7/HBB/AQP1/HBG2/UPK3A",8
"GO:0043410","positive regulation of MAPK cascade","69/1787","351/13739",0.196581196581197,1.51137608272471,3.75266553343801,0.000250458632048686,0.00774865236778872,0.00774865236778872,"P2RY1/TNFSF11/DUSP15/BMP2/TENM1/MEF2C/MYOC/BMP4/WNT16/LILRA5/ADRA1D/ACTA2/FGF10/PDGFD/LEP/GRM4/ITGB3/TLR9/MAPK8IP1/PDGFRA/ELANE/HTR2A/EDAR/IL6ST/ALOX12B/ADCYAP1/IGF1/IL15/FGF5/ERBB4/PLA2G5/FGF17/FGF22/EGF/GHR/HGF/LRRK2/ERN2/GFRAL/LPAR1/IL11RA/SPRY2/ADRA2C/NRXN1/PELI2/SH3RF2/NGF/GPR55/BMPER/NAMPT/TEK/IGFBP6/WNT4/PDE8B/FGF7/IL6/GPBAR1/FLT3/CD36/EDN3/NTRK1/NEK10/IL1R1/AKAP12/FZD10/NTRK2/SEMA3A/ADRB2/ADRA2B",69
"GO:0060322","head development","85/1787","454/13739",0.187224669603524,1.43944025499878,3.68171973213806,0.000284481050565865,0.00860673056850097,0.00860673056850097,"GRIA1/MEIS2/ZNF365/NRGN/FEZ1/AFF2/SYPL2/EFHC1/FAT4/BMP2/FOS/KCNC1/EGR2/LHX6/BMP4/POU3F1/DAB1/BMP5/CX3CR1/AMIGO1/FOXP2/BLOC1S6/CNTN1/KCNA1/IER3IP1/ATP1A2/KCNE1/KDM6B/ERBB4/NR4A2/P2RY12/MACROD2/CRISPLD2/OSR2/ALDH1A2/SALL1/LRRK2/RORA/LPAR1/WNT3/CXCL12/IL11RA/KCNA2/NRXN1/PLXNA4/GDF10/EMX1/SEMA5A/WNT3A/WLS/GRIN2A/MAOB/DCT/SLC23A1/SEMA3D/SEMA3G/SSTR1/AQP1/SLIT2/ATP1B2/CCDC141/MEIS1/KIF26A/METTL14/SLC8A3/BRINP1/CBLN1/SLIT1/OPHN1/TACC1/DSCAML1/PLP1/ROBO2/CLDN5/WNT2B/MAG/CNTN4/SCN5A/NTRK2/CMA1/CITED1/PCDH9/PTEN/RELN/SEMA3A",85
"GO:0009410","response to xenobiotic stimulus","60/1787","297/13739",0.202020202020202,1.55319281228626,3.72671814386761,0.000294827967924604,0.00887075797997326,0.00887075797997326,"CYP2C8/GRIA1/ADCYAP1R1/CES3/OXCT1/GATA3/ALDH3A1/MEF2C/FOS/KCNC1/AMELX/ACER2/GRM2/CYP2A7/CYP26A1/FABP3/ITGB3/CYP4F12/CYP3A5/HTR2A/UPP2/GPLD1/HCN2/RAB6C/SULT1C4/SLCO1A2/NAT1/FOSB/CYP2W1/RBP4/RORA/HTR1B/ADIPOQ/AOX1/ABCC8/CRHBP/CYP2B6/UGT1A8/ACTC1/SLC10A1/SLC26A5/CYP3A7/ACSL1/SOD2/CYP2U1/UGT2A1/ABCB1/CYP4F2/GSTM2/AADAC/UGT2B15/NTRK1/PDE2A/NR1I2/BCHE/ACSM2B/UGT1A6/SRR/SULT1B1/NOS1",60
"GO:0019722","calcium-mediated signaling","43/1787","197/13739",0.218274111675127,1.67815781774178,3.70703102720169,0.00038483240427912,0.0112092672650663,0.0112092672650663,"GRIA1/TNFSF11/TRAT1/RGN/CHP2/RCAN2/P2RX3/GRIK1/CX3CR1/AKAP6/PDGFRA/ACKR4/GPR62/CASQ2/SLC8A2/GRIA3/IGF1/RYR2/CALML3/ATP1A2/KSR2/TNNI3/TRPA1/P2RY12/PTGDR2/LRRK2/TMBIM4/MAPT/MCTP1/JPH4/GRIN2A/DMD/CCR9/GRIK3/EDNRB/GSTM2/SLC24A4/HRC/AGTR1/ANK2/NOS1/CXCR2/IRGM",43
"GO:0014706","striated muscle tissue development","46/1787","215/13739",0.213953488372093,1.64493955050038,3.68544046141361,0.00039398958038516,0.0112263687980471,0.0112263687980471,"ASB2/MYOCD/BMP2/ADAMTS9/MEF2C/EGR2/CAV1/GLI1/BMP4/CACNA1G/BMP5/RTL1/AKAP6/PDGFRA/FOXP2/CFL2/IGF1/TBX5/RYR2/KDM6B/ERBB4/TNNI3/TGFBR3/ZFPM2/RPL3L/RBP4/HOPX/ALPK2/MYOM1/PGM5/RBM24/ACTA1/WNT3A/CAV3/SVIL/SGCD/TBX18/MYLK3/ACTC1/DMD/POPDC2/MEIS1/TNNC1/MYL3/SCN5A/MYH11",46
"GO:0008366","axon ensheathment","26/1787","101/13739",0.257425742574257,1.97916747466577,3.81896838228494,0.000402687338170431,0.0112263687980471,0.0112263687980471,"CFH/EGR2/MYOC/POU3F1/BCAS1/AMIGO1/CNTN1/IGF1/ACSBG1/PLLP/PRX/DHH/LPAR1/SCN2A/PTN/JAM2/LGI4/SLC8A3/GAL3ST1/PLP1/PTPRZ1/CLDN5/MAG/SBF2/PTEN/ANK2",26
"GO:0099558","maintenance of synapse structure","12/1787","32/13739",0.375,2.88311415780638,4.12367254571606,0.000412075977787405,0.0112438283558638,0.0112438283558638,"RIMS1/SHANK1/RIMS2/ITGB3/BSN/PPFIA2/PLXNA4/PCLO/CBLN1/OPHN1/CBLN4/ERC2",12
"GO:0007269","neurotransmitter secretion","30/1787","123/13739",0.24390243902439,1.87519620019927,3.76996178422834,0.000412711742061472,0.0112438283558638,0.0112438283558638,"P2RY1/RIMS1/CPLX2/MEF2C/NRXN2/STX1B/STXBP1/RIMS2/SYT9/GRM4/PTPRN2/SYN3/BLOC1S6/NLGN1/SYT1/PPFIA2/SNAP25/LRRK2/MICU3/TACR2/CACNB4/NRXN1/MCTP1/PCLO/LIN7A/DOC2B/CADPS/UNC13A/SNCA/ERC2",30
"GO:0048589","developmental growth","63/1787","320/13739",0.196875,1.51363493284835,3.59478735738301,0.000437606719336676,0.0118046029314662,0.0118046029314662,"BDNF/RIMS1/SEMA6D/LRP4/SLIT3/MEF2C/GLI1/CPNE6/BMP4/EREG/FGF10/LEP/RIMS2/AKAP6/TNN/ISLR2/BLOC1S6/SYT1/IGF1/TBX5/IER3IP1/NRN1/ERBB4/TGFBR3/ZFPM2/RBP4/GHR/SALL1/OLFM1/CXCL12/PSAPL1/PLXNA4/MAPT/DCLK1/LEPR/SEMA5A/PTN/CAV3/SEMA3G/LIN7A/SLIT2/ACACB/TMEM182/SYT3/FBLN5/MEIS1/PRKG1/FGF7/SLIT1/ADCY10/MUSTN1/DCC/ST8SIA2/EDN3/MAG/CDKL3/MUSK/ACVR1C/UNC13A/GHRHR/PTEN/SEMA3A/NRN1L",63
"GO:0050995","negative regulation of lipid catabolic process","10/1787","24/13739",0.416666666666667,3.20346017534042,4.17750194275814,0.000467214326378686,0.0124803202499985,0.0124803202499985,"CIDEA/GPLD1/PLIN5/CIDEC/ENDOU/HCAR3/HCAR2/ACACB/PLIN1/APOA2",10
"GO:0055074","calcium ion homeostasis","36/1787","158/13739",0.227848101265823,1.75176556423679,3.67492802125644,0.000478062002841188,0.0127080947939726,0.0127080947939726,"P2RY1/RGN/PTH1R/CAV1/ELANE/TMEM178A/HTR2A/CLN3/CASQ2/SLC25A27/SLC8A2/RYR2/CDH5/CACNB2/PLN/TNNI3/TRPA1/CALB1/CNR1/MICU3/CXCL12/SLC24A5/CACNB4/CAV3/SLC8A3/CNGB1/EDN3/SLC24A4/HRC/CCL14/CCL23/TRPC6/STC2/HCRTR1/ERC2/ANK2",36
"GO:0006816","calcium ion transport","64/1787","328/13739",0.195121951219512,1.50015696015942,3.54500128906523,0.000507878711604094,0.0133911224874852,0.0133911224874852,"ADCYAP1R1/SRL/CACNA2D3/PLCL1/PLCH2/CAV1/P2RX3/CACNA1G/LILRA5/CACNA1A/CACNA2D2/ITGB3/AKAP6/TLR9/GRIN3A/HTR2A/CASQ2/SLC8A2/RYR2/CALML3/MYLK/CACNB2/PKD1L1/GCK/PLN/ATP1A2/TMC2/CATSPER1/TRPA1/TRPM1/EGF/CACNA2D1/PKD1L2/MICU3/CXCL12/SLC24A5/CHRNA2/CACNB4/GPM6A/TMBIM4/LILRA2/JPH4/WNT3A/GRIN2A/CAV3/EPPIN/CACNA1H/DMD/SLC8A3/EDNRB/CNGB1/CCL2/CAMK2B/GSTM2/SLC24A4/HRC/TRPC6/MCHR1/HOMER1/SNCA/P2RX6/ANK2/NOS1/LETM2",64
"GO:0033002","muscle cell proliferation","35/1787","153/13739",0.228758169934641,1.75876244920651,3.64929926831043,0.000526055580926673,0.013717525529307,0.013717525529307,"NR4A3/MYOCD/BMP2/RGS5/MEF2C/FOS/GLI1/BMP4/PIK3R1/EREG/PDGFD/ITGB3/KLF4/ELANE/CNN1/HBEGF/IGF1/TBX5/PPARG/ERBB4/OGN/TGFBR3/ZFPM2/PDE1A/RBP4/NPR1/HTR1B/ADIPOQ/RBPMS2/ADAMTS1/PRKG1/SOD2/IL6/PPARGC1A/PTEN",35
"GO:0021700","developmental maturation","44/1787","206/13739",0.213592233009709,1.64216210930072,3.5907484841271,0.00054107703440259,0.0140423594331212,0.0140423594331212,"SHANK1/BMP2/LHX6/MYOC/DAB1/EREG/STXBP1/LEP/CX3CR1/PTPRN/PALM/BLOC1S6/IGF1/KCNIP2/NRN1/PPARG/CATSPER1/FGF22/CNTN2/ZBTB16/LRRK2/TUBB8/SPTBN4/NRXN1/PDE3A/ARHGEF15/LGI4/SPINK5/FGF7/EDNRB/CNGB1/CHRDL1/CAMK2B/SLC26A3/SLC24A4/RECK/SYBU/BCAN/RAB38/KCNB1/TDRD6/ZDHHC15/PTEN/RELN",44
"GO:0071692","protein localization to extracellular region","52/1787","255/13739",0.203921568627451,1.56781109757837,3.53890035752071,0.000576147928381904,0.0148820096972609,0.0148820096972609,"KCNA5/OXCT1/SRRM3/FAM3B/ADCY5/DISP1/OR51E2/RIMS2/APBB1/PTPRN2/PTPRN/BLOC1S6/IL6ST/ADCYAP1/IGF1/SLC30A8/GPLD1/CYB5R4/IER3IP1/GCK/GNAO1/PPARG/CELA2A/TRPA1/NEGR1/CACNA2D1/SNAP25/RBP4/MRGPRE/ARL4D/TACR2/SYTL4/GIPR/ADRA2C/HCAR2/SNCG/HMGCR/ACHE/SAA1/ABCC8/WLS/PCSK5/DOC2B/PDE8B/PER2/CHGA/IL6/EDNRB/RAPGEF3/PDE1C/KCNB1/MYRIP",52
"GO:0008544","epidermis development","45/1787","213/13739",0.211267605633803,1.62428966636979,3.55054479704476,0.00060290066451984,0.0154999250653082,0.0154999250653082,"SCEL/ZFP36/COL17A1/PTHLH/GLI1/BMP4/LAMA3/WNT16/ALOXE3/GRHL3/EREG/KLF4/EDAR/ALOX12B/FA2H/KRT79/DSC1/FOXN1/SVEP1/KRT1/MAFF/HOXA7/KRT4/TP63/SLC39A2/POU2F3/DCT/FABP5/CSTA/KRTDAP/CERS3/FLG2/SPINK5/FGF7/NTF4/KRT32/USH1C/FLG/STRC/ALDH3A2/KRT10/COL7A1/ALX4/KRT77/KRT15",45
"GO:0032341","aldosterone metabolic process","6/1787","10/13739",0.6,4.61298265249021,4.41926621264227,0.000631240871770159,0.0159909601504555,0.0159909601504555,"BMP2/BMP5/WNT4/CACNA1H/EDNRB/DAB2",6
"GO:0097254","renal tubular secretion","6/1787","10/13739",0.6,4.61298265249021,4.41926621264227,0.000631240871770159,0.0159909601504555,0.0159909601504555,"CLN3/NPR1/CORIN/ABCG2/EDNRB/AGTR1",6
"GO:0035592","establishment of protein localization to extracellular region","52/1787","256/13739",0.203125,1.56168683547846,3.50771823664791,0.000633681218526085,0.0159909601504555,0.0159909601504555,"KCNA5/OXCT1/SRRM3/FAM3B/ADCY5/DISP1/OR51E2/RIMS2/APBB1/PTPRN2/PTPRN/BLOC1S6/IL6ST/ADCYAP1/IGF1/SLC30A8/GPLD1/CYB5R4/IER3IP1/GCK/GNAO1/PPARG/CELA2A/TRPA1/NEGR1/CACNA2D1/SNAP25/RBP4/MRGPRE/ARL4D/TACR2/SYTL4/GIPR/ADRA2C/HCAR2/SNCG/HMGCR/ACHE/SAA1/ABCC8/WLS/PCSK5/DOC2B/PDE8B/PER2/CHGA/IL6/EDNRB/RAPGEF3/PDE1C/KCNB1/MYRIP",52
"GO:0021675","nerve development","15/1787","48/13739",0.3125,2.40259513150532,3.76390887563772,0.000790165183420082,0.0194033387641631,0.0194033387641631,"BDNF/KCNC1/EGR2/NPTX1/SALL1/LPAR1/KCNA2/PLXNA4/NGF/HOXA1/NTF4/CNGB1/SLC24A4/NTRK1/SEMA3A",15
"GO:1903115","regulation of actin filament-based movement","13/1787","39/13739",0.333333333333333,2.56276814027234,3.77894271740413,0.00088681721917957,0.0214876597001209,0.0214876597001209,"CAV1/ACTA2/RYR2/PLN/ATP1A2/ZEB2/CAV3/TNNC1/ADCY10/SCN5A/CTNNA3/ADRB2/ANK2",13
"GO:1901379","regulation of potassium ion transmembrane transport","16/1787","54/13739",0.296296296296296,2.27801612468652,3.63843442762182,0.00102256132340261,0.0242404580387562,0.0242404580387562,"KCNC1/CAV1/KCNIP4/AMIGO1/AKAP6/KCNIP2/KCNE1/DPP6/KCNN2/NEDD4/FHL1/CAV3/ATP1B2/DPP10/KCNAB1/ANK2",16
"GO:0099054","presynapse assembly","12/1787","35/13739",0.342857142857143,2.63599008713726,3.74709544167695,0.00104803416793817,0.0246843452897023,0.0246843452897023,"IGSF11/LRP4/LRRC4B/NLGN1/LRFN5/BSN/NRXN1/PCLO/WNT3A/CBLN1/PTEN/SNCA",12
"GO:0008212","mineralocorticoid metabolic process","6/1787","11/13739",0.545454545454545,4.19362059317292,4.0971302195941,0.00123598383748872,0.0282010312253676,0.0282010312253676,"BMP2/BMP5/WNT4/CACNA1H/EDNRB/DAB2",6
"GO:0042363","fat-soluble vitamin catabolic process","6/1787","11/13739",0.545454545454545,4.19362059317292,4.0971302195941,0.00123598383748872,0.0282010312253676,0.0282010312253676,"CYP4F3/CYP26A1/CYP4F12/CYP4F11/CYP2W1/CYP4F2",6
"GO:1901317","regulation of flagellated sperm motility","6/1787","11/13739",0.545454545454545,4.19362059317292,4.0971302195941,0.00123598383748872,0.0282010312253676,0.0282010312253676,"TAC1/KIF9/TACR2/PGAM4/EPPIN/TPPP2",6
"GO:0007286","spermatid development","27/1787","114/13739",0.236842105263158,1.82091420493034,3.40318596034474,0.0012607068307737,0.0284266127082943,0.0284266127082943,"ARMC12/GLI1/CCDC136/DPY19L2/SPAG17/PLN/CATSPER1/MNS1/PYGO1/DHH/FSIP2/RFX2/ADAD2/DDX25/JAM2/NME5/DNALI1/GALNTL5/RSPH1/DNAH3/AXDND1/ADCY10/FAM9B/SLC26A3/PIWIL1/CCDC38/STK33",27
"GO:0001659","temperature homeostasis","38/1787","178/13739",0.213483146067416,1.64132341568004,3.3300057250392,0.00126144391674863,0.0284266127082943,0.0284266127082943,"TNFSF11/PLCL1/ELOVL3/CAV1/ALDH1A1/ZNF423/LEP/HTR2A/CIDEA/ADCYAP1/IL15/KDM6B/KSR2/NOVA1/DNAJC28/PRDM16/PTGS2/OXTR/ADIPOQ/LEPR/ACHE/G0S2/PM20D1/ADAMTS5/FABP5/ACADL/PER2/ACSL1/PTGER3/EDNRB/PTH2R/FABP4/PPARGC1A/CD36/IL18R1/GATM/ADRB2/EGR1",38
"GO:0048738","cardiac muscle tissue development","33/1787","149/13739",0.221476510067114,1.70277883145612,3.33507663215779,0.00134474340609306,0.0301795692285474,0.0301795692285474,"ASB2/MYOCD/BMP2/ADAMTS9/MEF2C/GLI1/BMP4/CACNA1G/BMP5/AKAP6/PDGFRA/IGF1/TBX5/RYR2/KDM6B/ERBB4/TNNI3/TGFBR3/ZFPM2/RBP4/HOPX/ALPK2/WNT3A/CAV3/SGCD/TBX18/MYLK3/ACTC1/MEIS1/TNNC1/MYL3/SCN5A/MYH11",33
