"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"AKR1D1",31.9890428105983,-2.16106310524665,0.588215884247504,1.56576315617239e-05,0.000143087962390482,"Down"
"STC2",1012.53429055114,-1.52069860055039,0.400008632724423,1.56977015400261e-05,0.000143253708676582,"Down"
"KIF14",26.8187417412227,1.22531788855009,0.313885973105232,1.56897942140025e-05,0.000143253708676582,"Up"
"BTLA",59.8848193773697,-2.14024600282655,0.582195041235039,1.57011202643399e-05,0.000143253708676582,"Down"
"SCN9A",18.0524108577386,-1.41877523462094,0.370356225558465,1.582838637977e-05,0.000144200474114815,"Down"
"RPP25",190.085336527621,1.2539372574907,0.322089182283661,1.5819927096389e-05,0.000144200474114815,"Up"
"SLC39A7",811.497464843364,1.03855823259802,0.260695913470322,1.59306114802859e-05,0.000145035298503655,"Up"
"CDCA7",100.291252921797,1.54091118354056,0.406017127790896,1.61345710952059e-05,0.000146813338274788,"Up"
"HBA1",1863.22636988961,-4.66556451514559,0.623469899967317,1.61986911329794e-05,0.000147317710346709,"Down"
"FAM131B",36.4766652312028,-1.40137168432935,0.365919586699769,1.62340987879646e-05,0.00014756055906358,"Down"
"HJURP",163.641983254446,1.20583362501597,0.309579512607844,1.63495082472209e-05,0.000148450382328274,"Up"
"AL590452.1",75.2209766176218,-1.30760173633425,0.339138568952519,1.64639010537591e-05,0.000149409020697711,"Down"
"IGSF1",40.0307206059549,-1.63985833551822,0.435866446163259,1.6487608114585e-05,0.000149544105274717,"Down"
"CCDC121",55.5006146716652,-1.66792348433896,0.444570381612441,1.6592472938419e-05,0.000150334367318054,"Down"
"ZNF438",70.6220179552067,-1.0182192844403,0.256821629287963,1.6584844374053e-05,0.000150334367318054,"Down"
"POF1B",80.0267685526377,-2.01512502826225,0.547782703334204,1.67095464365086e-05,0.000151314226063939,"Down"
"GJB4",34.5323971856116,-2.04145793325879,0.556181683032177,1.67508419694484e-05,0.00015160719330811,"Down"
"UBL4B",19.2658292932427,-2.12172126772278,0.578689710568482,1.67749217657134e-05,0.000151744116207243,"Down"
"SLC26A4",53.48193468135,-1.6246862756076,0.432191429885501,1.67984215038266e-05,0.000151875648710863,"Down"
"DSCAML1",32.766474515779,-1.53316660008775,0.405392562560436,1.68681633213229e-05,0.000152285677521187,"Down"
"CIDEC",207.119382885813,-2.37107393161308,0.6548417047059,1.68923427987879e-05,0.000152399678086776,"Down"
"HPDL",83.0668761350533,1.45255649089042,0.381559673879788,1.7007670924306e-05,0.000153358530589806,"Up"
"NLRC5",1547.6448421029,1.00446996330149,0.252038439637678,1.70303522248307e-05,0.000153481409311712,"Up"
"ZNF717",222.405707329805,-1.19656917111622,0.307971200387156,1.7047525167524e-05,0.000153554541253914,"Down"
"TCEAL4",710.248103254096,-1.05902446499733,0.268794401915208,1.71014733642958e-05,0.000153795319083047,"Down"
"PSMB4",1693.32513826475,1.14121419773597,0.291759980475468,1.70983278052165e-05,0.000153795319083047,"Up"
"KIAA1407",80.3220673978224,-1.30135356672569,0.338232398392252,1.713115977025e-05,0.000153899003934964,"Down"
"PTGDS",4171.69364364493,-1.73316243027813,0.466003441696995,1.72077821813522e-05,0.000154423675774634,"Down"
"MMRN2",376.472747308599,-1.0345654300171,0.262175375222859,1.7384770167567e-05,0.000155846971909358,"Down"
"HIST3H2A",317.005784684332,1.65191619851847,0.440444745545535,1.76322853456731e-05,0.000157898838446831,"Up"
"HOXA4",51.0193403683076,-1.35546551906997,0.354750931339541,1.78305033063276e-05,0.000159505378389903,"Down"
"ALDH1A1",221.05979934943,-1.43151020706518,0.377240289335928,1.78600708201185e-05,0.000159601434128966,"Down"
"PDE1B",117.05489529309,-1.56473331751554,0.218282307346043,1.79115383143985e-05,0.000159894537260622,"Down"
"C14orf180",38.720017236479,-2.05414779668212,0.561958957238905,1.79117346777915e-05,0.000159894537260622,"Down"
"RGS5",499.128115346972,-1.18854770682355,0.30699669695982,1.82217037101319e-05,0.000162405005938042,"Down"
"DSG1",421.814785425918,-2.82666387920205,0.79749354647939,1.8450922571479e-05,0.000164188997077014,"Down"
"JTB",1223.73795430257,1.13232651757612,0.289581416403362,1.84793478874454e-05,0.000164355669143743,"Up"
"ITM2A",377.505663533275,-1.55240306607659,0.414371259874704,1.88018920374605e-05,0.000167049095292993,"Down"
