"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"RNASE11",151.341769708932,-7.09457263958649,0.381060818334508,1.28552813059097e-78,2.1792272869778e-74,"Down"
"UGT2A1",208.825191717602,-2.67163124082532,0.150359243513454,8.52708433634121e-72,7.22755668348281e-68,"Down"
"CCDC177",240.069610825918,-4.25243639184158,0.291698619395978,1.99385396162083e-49,1.12666041191321e-45,"Down"
"MFRP",80.2979838756068,-3.47606555034921,0.251678831933986,1.18491047542599e-44,5.02165059485535e-41,"Down"
"SOX7",1662.56527340473,-2.78569791913704,0.215630092937138,2.59469537183055e-39,7.98848806390514e-36,"Down"
"KLK9",295.458497362123,-4.02314322998558,0.31213150788848,2.82744976306223e-39,7.98848806390514e-36,"Down"
"LCN6",683.317314728184,-3.5349362020042,0.284629162763651,1.26129552335991e-36,3.05449738742817e-33,"Down"
"TMEM239",142.786474979403,-2.33835043590378,0.190177880648708,7.289095850772e-36,1.54455941077859e-32,"Down"
"MDGA2",336.184194434709,-2.87558164545385,0.234296949713926,8.80678012512054e-36,1.6588059631227e-32,"Down"
"ZNF788",12108.2305893111,-1.4623859893429,0.1236653103625,4.95227182516077e-33,8.39509119801253e-30,"Down"
"DEFB130",262.877796475051,-4.66511302915164,0.415721156361314,1.64375188925739e-30,2.53317109333557e-27,"Down"
"MYOCD",81.3588633214767,-5.54550529311897,0.496841759558545,3.41283465913149e-30,4.82119776179976e-27,"Down"
"TMEM236",1580.29124477915,-1.37568636264684,0.123609779790299,1.37884306351379e-29,1.79801135482198e-26,"Down"
"SYNPO2",746.690892386405,-3.1838754128853,0.291090451520925,5.14301946653053e-29,6.22746185690182e-26,"Down"
"FLG2",277.845325373401,-5.7372388900529,0.526922710901076,6.75958614880447e-29,7.63923362630223e-26,"Down"
"DES",2219.78089275323,-6.21242035865234,0.574475627292322,1.1953770000852e-28,1.26650193159027e-25,"Down"
"LIMS3",1590.78209417079,-3.18410926427323,0.297509978974871,6.59802717898649e-28,6.57939745518699e-25,"Down"
"CDHR1",139.582326522605,-5.23965765438737,0.500686516815718,6.42361105988897e-27,6.04961414929099e-24,"Down"
"SOGA3",582.111176667905,-1.88245193510687,0.180891828059726,1.83856453065323e-26,1.64038662755966e-23,"Down"
"MYH11",1635.97249698443,-2.97232689688243,0.28890223286706,5.60600207433043e-26,4.75164735820247e-23,"Down"
"FLG",579.662527154213,-5.18612678618374,0.521258653466989,1.25533413838336e-24,9.92749784106876e-22,"Down"
"MUC3A",1343.61220229188,-2.56611491063563,0.257013187996328,1.28837277314484e-24,9.92749784106876e-22,"Down"
"OC90",514.60950249728,-2.78133642589401,0.28122026580237,3.06965251782828e-24,2.2624673687924e-21,"Down"
"LTB4R2",4431.51448174695,-2.05533551448056,0.209184612558617,7.82719191393522e-24,5.52860655520957e-21,"Down"
"E2F1",170.296184908219,2.46411981713131,0.251345805109586,8.53562591194537e-24,5.78783721837192e-21,"Up"
"GOLGA7B",1057.4595489378,-2.60035752544626,0.266442822853224,1.1653528260735e-23,7.31668929911038e-21,"Down"
"CDRT1",897.486484380944,-2.45538759740699,0.251388316109614,1.13805640516356e-23,7.31668929911038e-21,"Down"
"HIST2H3C",753.831849178032,3.13449832001031,0.32184412130852,1.32166282319293e-23,7.72580282026431e-21,"Up"
"HIST2H3A",753.831849178032,3.13449832001031,0.32184412130852,1.32166282319293e-23,7.72580282026431e-21,"Up"
"ZNF709",981.077449588784,-1.70258215754774,0.175117217224328,2.67675669685888e-23,1.51254598417172e-20,"Down"
"MYBL2",244.001893241931,3.11486762692916,0.32642372331545,9.08998768284572e-23,4.97075713547099e-20,"Up"
"CACNA1G",70.9415732126641,-3.18975287554183,0.334643062936597,9.99826241758502e-23,5.29657951571567e-20,"Down"
"FAM47E-STBD1",1059.02621236973,-2.19699626502554,0.2307259503607,1.38523305888764e-22,7.11590024674645e-20,"Down"
"PHYHIP",104.331979124047,-3.48921374323827,0.370363413998839,2.54986581608317e-22,1.2713330974777e-19,"Down"
"CLN3",39139.8009213462,-1.2581987995674,0.132982313638284,2.89469398265446e-22,1.4020243541131e-19,"Down"
"LPHN3",90.5818794980571,-3.39838175301364,0.362767517400638,4.33560236909782e-22,1.98640895570125e-19,"Down"
"ABCA10",203.843729281906,-2.27570025911478,0.242077332310115,4.27622664489027e-22,1.98640895570125e-19,"Down"
"MASP1",109.30713333211,-3.20006969983991,0.342771742844887,6.31065803016701e-22,2.81521776124713e-19,"Down"
"AKAP12",206.962247967113,-3.34762852259514,0.263328961551022,8.16530884712339e-22,3.46045788941089e-19,"Down"
"ANKRD18A",2572.35685761495,-1.91277270227288,0.204454802591949,7.99248467880789e-22,3.46045788941089e-19,"Down"
"MRPS17",6714.29683429538,-1.41684202760426,0.151276487555792,1.09140090083346e-21,4.51254343193387e-19,"Down"
"PM20D1",471.501349871494,-6.33386598136361,0.689430870127589,1.88066675319235e-21,7.59072923812303e-19,"Down"
"ABCA8",389.023879934082,-2.28367866709773,0.247185794334625,1.93153893431535e-21,7.6147553522125e-19,"Down"
"MAB21L1",49.8621138229143,-2.78474310006244,0.303035497010705,2.76532652585628e-21,1.06540489241626e-18,"Down"
"MMP11",1841.22971843924,3.33557071854405,0.365564637867747,4.68553466831038e-21,1.76509297104883e-18,"Up"
"ARHGAP6",73.8402186806065,-2.11106718105809,0.230873355633294,5.18852722467947e-21,1.91208507636449e-18,"Down"
"ABCA9",196.184146761653,-1.8299498127275,0.200695734175932,7.85338112442808e-21,2.83256418768734e-18,"Down"
"NOVA1",181.433193155831,-3.05542018446101,0.338823165609207,1.24793793003987e-20,4.4073007895908e-18,"Down"
"GSTM2",1117.73895932318,-1.7506111239762,0.194206759112224,1.50317707863536e-20,5.2003791504136e-18,"Down"
"ANKRD29",142.805748188119,-1.99372079194617,0.222043324373165,2.51938066568092e-20,8.5417082089246e-18,"Down"
"COL17A1",626.276903225559,-1.86040580482702,0.394069858504446,2.67865197976396e-20,8.90362909038404e-18,"Down"
"FAT4",106.185502555355,-2.05504006347072,0.232596414312944,8.7467238843071e-20,2.85143198628411e-17,"Down"
"HAL",144.771854270684,-4.05081513524905,0.461779044086475,9.05158478383774e-20,2.89514085387957e-17,"Down"
"TNXB",1280.14835586263,-2.41633030310685,0.275989677573534,1.53446428809708e-19,4.81708122441142e-17,"Down"
"SPTBN4",66.0094808116947,-2.30461538890974,0.263152857666479,1.61577765274822e-19,4.98012050352507e-17,"Down"
"RAI2",136.742991781486,-2.04328874524219,0.233256960160515,1.73406017941795e-19,5.24924788598092e-17,"Down"
"FAM90A26",276.21269944623,-3.8923188894842,0.449873816927296,2.82943908221384e-19,8.41485110906826e-17,"Down"
"CXCL10",211.789464484357,3.69133769543368,0.427787426671484,3.65809185268606e-19,1.06917194977128e-16,"Up"
"MTHFD2",649.325881895699,1.77947946598743,0.204878393322188,3.92093308544718e-19,1.12657046888984e-16,"Up"
"ATP1A2",140.167463480058,-3.31644372371553,0.384822240745883,4.0843105166223e-19,1.15395386462969e-16,"Down"
"ACSBG1",646.664807469827,-3.67605769000802,0.427353031661785,4.52828846794553e-19,1.25841878866578e-16,"Down"
"ANK2",608.014419404674,-2.41429499068443,0.281628956560486,7.28700119390488e-19,1.99240716514638e-16,"Down"
"CNN1",1130.45464481927,-2.56360087470562,0.299569130293994,7.80960594242515e-19,2.1014038085078e-16,"Down"
"NDUFA7",26371.5845743339,-1.13552872905714,0.131019362020583,9.15653059275559e-19,2.38802317859066e-16,"Down"
"NRXN1",74.6214142522193,-4.0508092562428,0.475556231186792,9.03436961465325e-19,2.38802317859066e-16,"Down"
"PAPPA2",27.12633145655,-3.70348132883364,0.435638962063387,1.11117031281714e-18,2.854024112557e-16,"Down"
"KCNJ12",84.4228230539456,-3.93854525601326,0.464386184896033,1.1637074640238e-18,2.94435357166142e-16,"Down"
"TRHDE",43.3138996992093,-4.76458736816338,0.562169405263284,1.20914744005928e-18,3.01433344174779e-16,"Down"
"SCN2B",26.1888918321271,-3.36483845584345,0.39655408718723,1.34307563635968e-18,3.29968379529989e-16,"Down"
"CSF3",125.139442821487,-5.39023670702564,0.638372204522883,1.43160398237508e-18,3.4669358156032e-16,"Down"
"H2AFX",604.605325272556,1.73515224998941,0.203262881938775,1.58534637152791e-18,3.78518192818889e-16,"Up"
"SIGLEC5",439.003336336184,-2.12951178960651,0.25179839918792,2.3081622787559e-18,5.43443985409306e-16,"Down"
"ZNF223",1319.9533180032,-2.35556049820253,0.279108516985405,2.42986103314941e-18,5.642603319719e-16,"Down"
"SVEP1",254.636689875689,-1.88392276864956,0.223066984403372,2.91302508757625e-18,6.67318936278279e-16,"Down"
"RPP14",5059.77283688685,-1.19928873484621,0.141465959404482,4.15345164436179e-18,9.3879083033628e-16,"Down"
"ABCA6",290.734453120381,-2.15678821399822,0.257501517508042,4.61104305482207e-18,1.02850528770189e-15,"Down"
"FLNC",354.242742894153,-2.94762409582045,0.353754057398404,5.01262673316358e-18,1.10355906987778e-15,"Down"
"TMEM246",36.3588648293551,-3.06948977514418,0.368867276137821,5.26855182138444e-18,1.14503192918089e-15,"Down"
"KL",32.0633311125373,-2.56976223386928,0.308359116288841,5.56911368669747e-18,1.19503310401133e-15,"Down"
"MMRN1",48.3822289904771,-3.0430943389205,0.372213991586601,1.75738470639804e-17,3.69279626149399e-15,"Down"
"CERS3",147.306213457634,-4.32587985936437,0.530780963976644,1.76449089889696e-17,3.69279626149399e-15,"Down"
"LIFR",239.211234642926,-2.04756620824425,0.249199692156631,1.84618870882027e-17,3.81665743803918e-15,"Down"
"HSPB6",1537.09212664793,-3.16099663107799,0.386990547144026,1.94126287923231e-17,3.96485401551159e-15,"Down"
"ARHGAP20",34.3538315648349,-2.36530762767535,0.289058390937998,2.1850562125886e-17,4.40965153759546e-15,"Down"
"SLC9A4",227.219070126094,-3.77708489644903,0.464050421649429,2.21845979309454e-17,4.42439181323984e-15,"Down"
"ITGB3",1584.92173691197,-2.20990129836741,0.270165250213579,2.29561278246291e-17,4.52502649864085e-15,"Down"
"KRT222",211.413814244918,-2.32302273870574,0.284437937376113,2.37421410564013e-17,4.62616982974844e-15,"Down"
"FN1",8345.79847388974,2.28419487900154,0.279090815249177,2.70041550354286e-17,5.20198222909756e-15,"Up"
"IDS",24507.3155140667,-1.55432721811877,0.191671190203004,2.93764096187838e-17,5.59538085233285e-15,"Down"
"MAOA",147.475567307671,-3.063406079446,0.378022874978219,3.24117667033155e-17,6.10493632394004e-15,"Down"
"SSTR1",12.4865372778796,-4.0383090900921,0.49944688434722,3.48274292488288e-17,6.48785253435325e-15,"Down"
"HIST1H2BN",1065.23804428163,2.00136756164014,0.246836485319079,5.09786376472005e-17,9.39336810212329e-15,"Up"
"TK1",487.737158047221,2.42780021249263,0.300969193817143,5.36381319112511e-17,9.673123533612e-15,"Up"
"ZNF763",1301.6053202856,-1.80721104078089,0.222984106821936,5.31953521534128e-17,9.673123533612e-15,"Down"
"FGF10",131.541526705544,-2.90481721773968,0.36227507504723,6.88813887936043e-17,1.22913400297808e-14,"Down"
"NUSAP1",322.067736221282,2.31041200824569,0.287928984856047,8.39652681274793e-17,1.48268669301774e-14,"Up"
"NTRK2",253.731246424306,-2.40010069981309,0.299760861381041,8.63155360158279e-17,1.50847522323744e-14,"Down"
"SLC22A3",64.2861883699289,-2.79001395730955,0.349591436620689,9.16286714203109e-17,1.58498901828277e-14,"Down"
"TM4SF19",2922.7583283457,-0.984536678029197,0.12083172107393,9.62083503392444e-17,1.64739793429381e-14,"NS"
"HIST1H3B",2236.43061799079,2.96309594620537,0.371404356358346,1.06162646728052e-16,1.79966918733394e-14,"Up"
"LGI4",184.032437800023,-2.09120850559736,0.26195377777524,1.20032441071413e-16,2.01464350598276e-14,"Down"
"MYOC",38.0074420854593,-4.97522474872502,0.631226552605797,1.59177846069364e-16,2.64547337898809e-14,"Down"
"BTNL8",41.9149178030369,-4.52842139019809,0.574491112746158,1.65414274617117e-16,2.72242988670812e-14,"Down"
"CASQ2",43.5261288310671,-3.24361581072952,0.411942098754488,2.08038063277445e-16,3.39102043142235e-14,"Down"
"AOC3",499.506188281219,-2.22468380047737,0.282075439222103,2.45902686784949e-16,3.97004032988425e-14,"Down"
"CRYBG3",2708.86976360829,-2.10820389955367,0.267203558928198,2.58052649481765e-16,4.12689482454233e-14,"Down"
"ABI3BP",979.035321724211,-2.26517952624836,0.288474976077499,3.20633291359331e-16,5.07979023843306e-14,"Down"
"JAM2",160.440473785935,-1.33893732939588,0.168915388733868,3.57717340967505e-16,5.61483737414921e-14,"Down"
"IDH2",1539.48903266102,1.50740905057039,0.1906191067239,4.17685305089015e-16,6.49596448795319e-14,"Up"
"PLIN5",278.468705645006,-2.78833114052491,0.357753135371297,4.2424915389567e-16,6.53806514258127e-14,"Down"
"TSHZ2",255.846114462221,-1.65397377233968,0.210676116916291,4.70424084156934e-16,7.18435051768319e-14,"Down"
"CAPS",1127.3224122059,2.10903519932611,0.269656838743205,4.80121404481257e-16,7.26698040068418e-14,"Up"
"HIST1H1B",916.407935786691,2.7077068576651,0.348559091068811,5.50425799638718e-16,8.25736119953588e-14,"Up"
"CXorf36",229.077800892482,-1.30633286265859,0.166394674028261,6.84886218366287e-16,1.01318842855777e-13,"Down"
"PYCR1",748.613884177969,2.45864765643326,0.316735127323194,6.87332876853138e-16,1.01318842855777e-13,"Up"
"BEGAIN",128.232903817617,-2.01606293949358,0.259542345636239,7.03167548069974e-16,1.02759450645536e-13,"Down"
"MRPL30",760.972920456917,-1.00224731054108,0.126648839666129,7.60468156092925e-16,1.10183386171686e-13,"Down"
"SBK1",134.245472505633,1.95813779460302,0.252341174249286,8.01239601379848e-16,1.15106895954163e-13,"Up"
"SNCA",109.138402096078,-2.90369406654597,0.378075270802318,9.87699379811694e-16,1.40701511651831e-13,"Down"
"PGR",169.635303801162,-2.96008399875132,0.386386800928703,1.15399380866102e-15,1.63020858703514e-13,"Down"
"CLEC3B",548.011279332382,-2.83020436937523,0.371096473872363,1.55297091785474e-15,2.1756994214441e-13,"Down"
"ARHGAP23",714.60204645546,-1.55200861789384,0.201300046704733,1.56659942630997e-15,2.1768027438366e-13,"Down"
"HSPB7",260.733063931431,-2.8024389257132,0.36796326238657,1.68142541787211e-15,2.31735964908683e-13,"Down"
"SEC14L6",153.879821588109,-3.28408547099663,0.432762771778491,1.91230120932137e-15,2.61430081454967e-13,"Down"
"TP63",425.943055718476,-2.9165617398521,0.384666998777502,2.11647801811256e-15,2.87028282904354e-13,"Down"
"CBX2",187.482543836271,2.24703818712033,0.295387204000782,2.27206381991499e-15,3.05682745041261e-13,"Up"
"ABCC9",940.98741782587,-2.84382004152669,0.375540929287537,2.35419972730898e-15,3.14029717518906e-13,"Down"
"CYP4F22",97.7975350023846,-3.62282616199402,0.480050428772923,2.37115407281855e-15,3.14029717518906e-13,"Down"
"CXCL9",197.27197992628,3.06904888668867,0.4068028912586,2.86586435937902e-15,3.76605679226303e-13,"Up"
"AGTR1",43.0977184298089,-3.02517599245674,0.401804282713036,3.15669743273693e-15,4.11633345228896e-13,"Down"
"PSMA2",3872.82399013044,-1.37736659245264,0.180245204557339,3.1914266991757e-15,4.12985232094858e-13,"Down"
"GPR133",216.206609185105,-1.47096962633923,0.192977768269125,3.33832454577418e-15,4.28721800757303e-13,"Down"
"NXPH3",75.6507677812049,-2.31441912225854,0.306711222318098,3.45556731258817e-15,4.40441932954847e-13,"Down"
"ADH1B",759.52132844212,-2.81267456698724,0.374065165317542,3.55781105074494e-15,4.50089648747972e-13,"Down"
"POLR2J2",15317.0923720585,-1.42851755552814,0.189252389414282,3.60206003893742e-15,4.52312013185683e-13,"Down"
"CYP4F12",163.738938923238,-3.05945814830771,0.407495848527769,3.68072754532932e-15,4.58791862856049e-13,"Down"
"C7orf63",203.620722327153,-1.63491725951285,0.215531637907192,3.81111004805191e-15,4.71576186383767e-13,"Down"
"AC135983.2",69.4251239399815,-3.60901734115726,0.481968815774766,3.93730909962393e-15,4.83661332295832e-13,"Down"
"LYVE1",121.959716965326,-2.3583574869023,0.313520663224765,3.9690829376913e-15,4.84056791077288e-13,"Down"
"SHPK",4561.06144531603,-1.39999801644866,0.184687483966673,4.5301968117841e-15,5.48542116809743e-13,"Down"
"CLCA4",32.4439611048766,-4.74624006098548,0.638553807043962,4.93285939095992e-15,5.93062641103209e-13,"Down"
"NLGN1",49.1706410571892,-3.07672446372107,0.413128279717823,5.83447122061324e-15,6.96520817829829e-13,"Down"
