"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002683","negative regulation of immune system process","32/511","434/13739",0.0737327188940092,1.98241453010723,4.08749576240436,0.000182323881601484,0.00829359106164892,0.00829359106164892,"OAS1/FOXP3/FN1/LILRB4/IL4I1/CDKN2A/MIF/LTF/PARP1/C1QC/ISG15/VTCN1/IL12RB2/PSMB9/PSMA7/BST2/SOX11/ASCL2/TREM2/SCRIB/LAG3/OAS3/USP18/AURKB/NLRC5/SLAMF8/LAPTM5/INHBA/PSMB4/ZDHHC12/CDK6/PADI2",32
"GO:0051607","defense response to virus","22/511","254/13739",0.0866141732283465,2.3287517142549,4.20107402131513,0.00020826419639335,0.00905122809087291,0.00905122809087291,"IKBKE/OAS1/FOXP3/RSAD2/DDIT4/OASL/OAS2/ISG15/NMB/BST2/APOBEC3B/IFI6/IFI27/IFI44L/IFIH1/OAS3/CXCL10/USP18/NLRC5/STAT1/MX1/EXOSC4",22
"GO:0046385","deoxyribose phosphate biosynthetic process","5/511","16/13739",0.3125,8.40203033268102,5.82252595388428,0.000216812174355645,0.00907289219161077,0.00907289219161077,"DTYMK/CMPK2/RRM2/TK1/TYMS",5
"GO:0140888","interferon-mediated signaling pathway","11/511","82/13739",0.134146341463415,3.60672521598014,4.65317769391871,0.000217046909623998,0.00907289219161077,0.00907289219161077,"IKBKE/OAS1/OASL/OAS2/ISG15/IRAK1/IFI27/OAS3/USP18/NLRC5/STAT1",11
"GO:0072526","pyridine-containing compound catabolic process","11/511","83/13739",0.132530120481928,3.56327069530568,4.60359253930199,0.000241984436129994,0.00988885650931229,0.00988885650931229,"UCP2/GAPDH/ENO1/PGK1/UCHL1/QPRT/PDXP/ENO2/PKM/TPI1/SLC2A6",11
"GO:0032465","regulation of cytokinesis","11/511","85/13739",0.129411764705882,3.47942903188673,4.50667571308547,0.00029917133103214,0.0116928525909935,0.0116928525909935,"INCENP/CDCA8/AURKA/KIF23/PDXP/KIF20A/PLK1/KIF14/AURKB/CDC6/PRC1",11
"GO:0045066","regulatory T cell differentiation","8/511","47/13739",0.170212765957447,4.57642503226881,4.82713808765685,0.000303211298013344,0.0116928525909935,0.0116928525909935,"FOXP3/LILRB4/IL4I1/PSMB9/PSMA7/FANCA/LAG3/PSMB4",8
"GO:0050866","negative regulation of cell activation","17/511","176/13739",0.0965909090909091,2.59699119373777,4.19088831551767,0.000305680862420659,0.0117056531651436,0.0117056531651436,"FOXP3/FN1/LILRB4/IL4I1/CDKN2A/SERPINE2/VTCN1/PSMB9/PSMA7/SOX11/ASCL2/TREM2/SCRIB/LAG3/LAPTM5/INHBA/PSMB4",17
"GO:0048146","positive regulation of fibroblast proliferation","7/511","36/13739",0.194444444444444,5.2279299847793,4.9922499487347,0.000308556908578478,0.0117337335512204,0.0117337335512204,"FN1/MIF/CCNA2/CDC6/E2F1/CDK6/EGFR",7
"GO:0060339","negative regulation of type I interferon-mediated signaling pathway","5/511","18/13739",0.277777777777778,7.46847140682757,5.39722031156692,0.000399826487188425,0.0143101296983256,0.0143101296983256,"OAS1/ISG15/OAS3/USP18/NLRC5",5
